,url,label,salience,button,banner_size,button_size,button_size_p,corner,choices,brightness,banner_brightness,contrast,banner_distance,button_distance,button_banner_distance,link,hidden
1153,paesidelgusto.it_false,x,1.6298498638519445,accept,6119.420757643896,203.45686667281257,0.03324773287057772,False,False,194.24925708487353,227.9999473016025,33.75069021672897,18.389589293203304,54.02675745518341,41.424098116915076,False,False
1154,paesidelgusto.it_false,x,1.0332469492164278,manage,6119.420757643896,164.94072407106682,0.026953649798477402,False,False,223.0054196900475,227.9999473016025,4.994527611555014,18.389589293203304,53.59717274399543,41.845450562246775,False,False
1155,paesidelgusto.it_false,x,1.0607178707101874,reject,6119.420757643896,101.48222119637275,0.016583631885356012,True,False,220.48540305010894,227.9999473016025,7.514544251493561,18.389589293203304,36.96000311239953,43.46899158734051,False,False
1156,pagesjaunes.fr_false,x,1.1451416001818566,accept,6369.7649796795895,178.2361796328701,0.027981594329063563,False,False,192.6661477323938,244.26306399658122,51.59691626418743,0.5149062929791552,38.05103205950986,38.458385879135335,False,False
1157,pagesjaunes.fr_false,x,0.7638752501893099,manage,6369.7649796795895,209.64428480060806,0.03291240500542825,False,False,239.1221259347264,244.26306399658122,5.1409380618548255,0.5149062929791552,37.586900656191446,37.75629636164947,False,False
1158,pagesjaunes.fr_false,x,0.5921523971448525,reject,6369.7649796795895,81.52833297801429,0.012799268613222102,True,False,240.18274066091954,244.26306399658122,4.080323335661689,0.5149062929791552,47.06630757222533,46.59752879640718,False,False
1159,pandora.com_false,full xa,0.6952356634498789,accept,2228.241277053522,121.393289912117,0.05447941888619863,False,False,147.30305043793416,233.46301203234927,86.15996159441511,21.40498242102247,22.714901035388927,22.629668942661716,False,False
1160,pandora.com_false,full xa,0.6920433069110382,reject,2228.241277053522,118.75989050132496,0.05329759022252973,False,False,144.54246575342466,233.46301203234927,88.9205462789246,21.40498242102247,12.3493634967076,12.040403987933018,False,False
1161,pandora.com_false,full xa,0.5174642697368502,manage,2228.241277053522,56.521743451144346,0.02536607863484377,False,False,242.36183006535947,233.46301203234927,8.898818033010201,21.40498242102247,25.074053210631956,24.354744758014206,True,False
1162,pandora.com_false,full xa,0.7731427347954225,x,2228.241277053522,12.588933768663933,0.005649717514124279,True,False,238.00925925925927,233.46301203234927,4.546247226909998,21.40498242102247,45.07757110527332,30.842963793469462,False,False
1163,paris.fr_false,full,1.0356852423905047,accept,1558.522846411385,128.45850784350964,0.08242324335462578,False,False,120.62027924010071,221.60810120411904,100.98782196401832,39.53688778692575,57.27557355256797,25.075451243271925,False,False
1164,paris.fr_false,full,0.6002150027870179,reject,1558.522846411385,73.9921005178617,0.04747578817226454,False,False,230.30458300550748,221.60810120411904,8.696481801388444,39.53688778692575,49.105324366709134,11.693694491609742,False,False
1165,paris.fr_false,full,0.6817399991504239,manage,1558.522846411385,73.99210051786173,0.04747578817226456,False,False,223.41334127456818,221.60810120411904,1.8052400704491447,39.53688778692575,44.463248242894814,7.593020671634139,True,False
1166,paris2024.org_false,manage,1.6667469154694996,accept,2430.4349683992077,215.16800063787898,0.08853065539112046,False,False,71.39693640829694,211.40557718615173,140.0086407778548,36.11112030045988,39.89151105126131,16.957150339052554,False,False
1167,paris2024.org_false,manage,1.6656468520650867,manage,2430.4349683992077,232.93809422289806,0.09584214235377028,False,False,88.31068543297147,211.40557718615173,123.09489175318026,36.11112030045988,48.09823111285046,32.03538661958929,False,False
1168,partos.nl_false,full choices,0.6531657028098115,manage,3946.630736476154,364.82216227556853,0.09243888943137075,False,True,229.46501484218817,191.07433909280857,38.3906757493796,28.902385811998744,43.77828541637735,14.884895744260684,False,False
1169,partos.nl_false,full choices,1.3037486367770978,accept,3946.630736476154,166.7819626834903,0.042259327973613675,False,False,122.61922398589066,191.07433909280857,68.45511510691792,28.902385811998744,41.78171333054826,21.967924702322556,False,False
1170,partos.nl_false,full choices,0.901654814332172,reject,3946.630736476154,183.13901268223066,0.04640388850915168,False,False,139.58120993589745,191.07433909280857,51.493129156911124,28.902385811998744,41.78750625633837,21.989621792697832,False,False
1171,paypal.com_false,full,1.3673629235671514,accept,1322.1053423773205,101.91041622251775,0.07708191847955877,False,False,144.75536480686696,230.28378265447677,85.5284178476098,35.90973826156318,40.915433845263095,26.804923411099534,False,False
1172,paypal.com_false,full,1.0237411544947197,reject,1322.1053423773205,94.54546177282339,0.07151129243817904,False,False,136.67149460708782,230.28378265447677,93.61228804738894,35.90973826156318,46.90315259273674,26.847793321494812,False,False
1173,paypal.com_false,full,0.7855893306415052,manage,1322.1053423773205,55.301387626631104,0.041828276351407734,False,False,226.87730384412848,230.28378265447677,3.4064788103482897,35.90973826156318,38.0054523235553,4.9639242291488035,True,True
